Start Date,End Date,Minimum Value,Maximum Value,Absolute Maximum Value,Range,25th Percentile,50th Percentile (Median),75th Percentile,Confidence Score (50% Threshold),Confidence Score (80% Threshold),[AI] Max Probability,[AI] Percent Above 50%,[AI] Percent Above 80%
2023-12-24,2024-01-29,-0.117804624,0.39853925,0.39853925,0.5163439,-0.0007047179096844047,0.017174283042550087,0.042088527232408524,0.17492507,0.16864908,90.45825600624084,5.420756684080693,1.1264235539426537
2024-05-16,2024-06-29,-0.064226754,0.3710782,0.3710782,0.43530494,0.05096553359180689,0.05590793862938881,0.059726208448410034,0.13752091,nan,61.44974231719971,3.0833493991388727,0.0
2023-12-20,2023-12-24,-0.043155454,0.05580227,0.05580227,0.098957725,-0.004066096385940909,-0.0010036942549049854,0.0031432355172000825,-0.075862534,nan,60.804080963134766,1.3252474907976863,0.0
2023-11-30,2023-12-08,-0.058467507,0.06416659,0.06416659,0.1226341,-0.006251369835808873,-0.0020487243309617043,0.003605299280025065,nan,nan,49.05324578285217,0.0,0.0
2024-05-28,2024-06-09,-0.19754893,0.27593422,0.27593422,0.47348315,-0.03432675078511238,-0.022171974182128906,-0.014533523470163345,-0.3028125,-0.33297515,84.76791977882385,3.408399831518697,0.2519141668541886
2024-01-13,2024-01-29,-0.09086195,0.37489188,0.37489188,0.46575382,0.008555467240512371,0.020076127722859383,0.03630359098315239,0.22519232,nan,79.84455227851868,3.278362487541262,0.0
2023-11-18,2023-11-26,-0.056860395,0.109691925,0.109691925,0.16655232,-0.010574248619377613,-0.004832517821341753,0.005778854829259217,-0.09976671,nan,50.69757103919983,0.0685910564942823,0.0
2024-02-10,2024-02-18,-0.062417105,0.05704186,0.062417105,0.119458966,-0.006388544919900596,-0.0018133008852601051,0.004183798679150641,nan,nan,49.0563303232193,0.0,0.0
2024-03-01,2024-03-25,-0.088711925,0.20859936,0.20859936,0.29731128,-0.004980338970199227,-0.0004836264706682414,0.004095615353435278,0.16586852,nan,57.3560357093811,0.4680467642307113,0.0
2024-03-01,2024-03-17,-0.07546977,0.21536812,0.21536812,0.29083788,-0.004441515076905489,-0.00010443660721648484,0.004441219847649336,0.121590704,nan,59.68472361564636,0.4840003505295017,0.0
2024-04-10,2024-04-22,-0.05146746,0.07479206,0.07479206,0.12625952,-0.005395093467086554,-0.002121749217621982,0.00307364109903574,-0.07267648,nan,60.80508828163147,1.340689993338761,0.0
2024-04-06,2024-04-10,-0.051814087,0.041756455,0.051814087,0.093570545,-0.001967486459761858,-0.0004463273799046874,0.0012455228716135025,nan,nan,49.155500531196594,0.0,0.0
2024-05-12,2024-05-16,-0.22208215,0.050069336,0.22208215,0.2721515,-0.0023197740665636957,0.00021550204110099003,0.0031857479480095208,0.010175403,nan,60.67047119140625,1.9403195534420556,0.0
2023-11-14,2023-11-18,-0.054688543,0.09461429,0.09461429,0.14930284,-0.007887742016464472,-0.0027469622436910868,0.00437328452244401,nan,nan,49.14509057998657,0.0,0.0
2024-02-18,2024-02-22,-0.051896416,0.045434654,0.051896416,0.09733107,-0.0027577822329476476,-5.711424091714434e-05,0.002552569960244,nan,nan,49.1160124540329,0.0,0.0
2024-03-01,2024-03-13,-0.06339125,0.07574958,0.07574958,0.13914084,-0.007134276092983782,-0.0025524565717205405,0.0042500849813222885,nan,nan,48.95566403865814,0.0,0.0
2024-01-13,2024-02-06,-0.095576145,0.43619227,0.43619227,0.53176844,-7.853519491618499e-05,0.016589729115366936,0.04271828383207321,0.14374685,0.13785301,90.4170572757721,5.102024487705855,0.9824114629529722
2024-05-16,2024-05-24,-0.054218184,0.13171807,0.13171807,0.18593626,-0.004601650405675173,-0.0012558470480144024,0.002946345368400216,0.030305184,nan,61.50195598602295,3.098129940235204,0.0
2024-01-25,2024-01-29,-0.057999264,0.06741469,0.06741469,0.12541395,-0.0037500092294067144,-0.00021117636060807854,0.003515858086757362,nan,nan,49.04175698757172,0.0,0.0
2024-07-15,2024-07-27,-0.046984468,0.057176944,0.057176944,0.10416141,-0.00541139580309391,-0.0018843643483705819,0.002969624532852322,nan,nan,49.173274636268616,0.0,0.0
2024-01-17,2024-01-25,-0.05353484,0.05836044,0.05836044,0.11189528,-0.005418501794338226,-0.001379129709675908,0.0034386657644063234,-0.07254758,nan,50.69991946220398,0.0740725499475319,0.0
